"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"THY1",2.56303026,9.12107917,5.90401997714373,8.68053621408902e-06,0.0024994307584749,3.7318380187505
"TAFA5",1.84107509,6.644975725,5.88339486422688,9.08687555291204e-06,0.00257455093327847,3.68900424090972
"ERLN",-2.68241885,8.905993675,-5.87911164704947,9.17367388611245e-06,0.00257455093327847,3.68010192883962
"SPARC",2.06287425,12.533791875,5.86197332260448,9.52955819679736e-06,0.00261567462204444,3.64445727578927
"FMNL2",0.922885650000001,11.041767175,5.85375488601381,9.70520080493485e-06,0.00261567462204444,3.62735077476985
"COL5A2",1.9518489,12.1277594,5.84752299060534,9.84059409677574e-06,0.00261567462204444,3.61437334902691
"HTRA1",1.45614920000001,11.1540543,5.84674525737172,9.85762618374688e-06,0.00261567462204444,3.61275342682384
"SRPX2",1.99137909,7.627841555,5.84435809743313,9.91009283531339e-06,0.00261567462204444,3.60778077660799
"B4GALNT3",-2.40327581,8.405751295,-5.82878609000746,1.02594316324237e-05,0.00264792497179438,3.57532486162342
"PTPN12",1.05999065,11.732622225,5.82827342359554,1.02711446292146e-05,0.00264792497179438,3.57425580400447
"WWTR1-AS1",-1.96149267,2.940354675,-5.80634447758986,1.07851874868548e-05,0.00274848726173629,3.52849586815982
"ASAH2B",-1.07521392,9.01937494,-5.79632877503332,1.10286542451105e-05,0.00277859424168573,3.50757516394426
"TNFSF4",1.67649784,7.77723268,5.78304817601086,1.13601837388878e-05,0.00280831867862321,3.47981497791346
"TMEM238L",-3.35266761,10.089192895,-5.78036678878995,1.14283480912791e-05,0.00280831867862321,3.47420739358735
"PPFIBP2",-1.2858503,10.25117015,-5.77173854524101,1.16505421486636e-05,0.00280831867862321,3.45615694003591
"SLC28A1",-1.23222453,6.079951565,-5.75411201756297,1.21182970704083e-05,0.00280831867862321,3.41925254173938
"MT1X",-1.8223506,13.1923793,-5.74742658853744,1.23006938784701e-05,0.00280831867862321,3.40524508474276
"ETFDH",-1.12756955000001,9.797009975,-5.7441291384238,1.2391688882124e-05,0.00280831867862321,3.39833412087377
"PRKDC",0.82957875,11.199871975,5.74190472103726,1.24534615042478e-05,0.00280831867862321,3.3936713006956
"TIMP1",2.0927926,11.822098,5.73793533081473,1.25644759590873e-05,0.00280831867862321,3.3853491257793
"ABHD6",-1.03794582,8.91243469,-5.73185574163,1.27364732929956e-05,0.00280831867862321,3.37259889857099
"COL8A1",3.52175173000001,9.761220505,5.72874799822825,1.282532234207e-05,0.00280831867862321,3.36607949189452
"BMP2",-1.81923993,10.004871935,-5.72684155992535,1.28801399915106e-05,0.00280831867862321,3.36207957792989
"GOLGA2P10",-0.93019965,9.028704675,-5.71780726721771,1.31431877647864e-05,0.00280831867862321,3.34311847650354
"GOLGA2P7",-0.93019965,9.028704675,-5.71780726721771,1.31431877647864e-05,0.00280831867862321,3.34311847650354
"LOC102724135",-0.93019965,9.028704675,-5.71780726721771,1.31431877647864e-05,0.00280831867862321,3.34311847650354
"LOC727751",-0.93019965,9.028704675,-5.71780726721771,1.31431877647864e-05,0.00280831867862321,3.34311847650354
"PARP1",0.852036049999999,10.505597675,5.71678502573785,1.31732958629207e-05,0.00280831867862321,3.34097236266862
"BMS1P1",-0.793479850000002,9.946552175,-5.70299174494744,1.35865140674866e-05,0.00284590584094676,3.31200176026548
"CHN1",1.66942069,9.394187505,5.69876096835433,1.37158969682552e-05,0.00284590584094676,3.303110948865
"GKN2",-9.178016297,10.4097842515,-5.69814967248408,1.37346950963558e-05,0.00284590584094676,3.30182615113591
"CEP170",1.07740469999999,10.94578905,5.67870656237721,1.43465399936762e-05,0.00294176642476063,3.26093729621684
"PLLP",-2.47079024,10.33690978,-5.67511110607842,1.44627008388845e-05,0.00294176642476063,3.25337095031101
"MLYCD",-0.85671395,8.713993675,-5.6704617864012,1.46143361773733e-05,0.00294216849573443,3.24358448132123
"FKBP10",2.60362729,6.869283605,5.66694586622878,1.4730084480922e-05,0.00294216849573443,3.23618197345624
"IL13RA2",3.43947695,5.186149255,5.66054717675384,1.49431469032174e-05,0.00295807598206459,3.22270612796217
"ATP4B",-7.96009495,9.019294355,-5.65491202072139,1.51333926717143e-05,0.00296922521172193,3.21083416727154
"NNMT",1.7180859,11.6749179,5.64898132910218,1.53362903662089e-05,0.00298263941850192,3.19833540264623
"PDCD4",-1.20205795,12.685584675,-5.64177403204038,1.55866089509684e-05,0.0030049626700167,3.18314047269636
"GLS",1.12419115,11.267278075,5.63333809174228,1.58849094860606e-05,0.00303607179496078,3.16534723174854
"PRDM16-DT",-3.84254155,7.778564675,-5.62844363610274,1.60606481544121e-05,0.00304053012869354,3.15501981132863
"SLC25A32",0.710394099999995,10.7741219,5.62508155311933,1.61825156820097e-05,0.00304053012869354,3.14792406000896
"CYP4F12",-2.14090823,7.748606485,-5.61691555860199,1.64824627848646e-05,0.00307086287733809,3.13068387971993
"TMEM237",1.14439855,8.725088625,5.59160651347512,1.74486763841898e-05,0.00315528411746445,3.07720026786904
"CYTOR",1.2833652,10.327296,5.59036101866831,1.74976923045349e-05,0.00315528411746445,3.07456629011975
"MIR4435-2HG",1.2833652,10.327296,5.59036101866831,1.74976923045349e-05,0.00315528411746445,3.07456629011975
"ADAMTS2",2.9709372,8.16725369,5.58689518669145,1.76348300722193e-05,0.00315528411746445,3.06723576439131
"LYAR",0.825391000000002,9.2355433,5.58658487425642,1.76471620840554e-05,0.00315528411746445,3.06657935800779
"TRIO",1.01122455,9.352904375,5.58052530245651,1.78897463290257e-05,0.00317306852688663,3.05375921028528
"F2R",0.975033100000005,10.4001383,5.57437247414802,1.8139549447943e-05,0.00319184087944718,3.04073731700352
"LGALS1",1.26225355,12.586130425,5.56779991121606,1.84103306289638e-05,0.00321049902191162,3.02682216045654
"ADAMTS6",1.51555502,7.171975,5.56480223754939,1.85351979975954e-05,0.00321049902191162,3.02047392208177
"HADH",-1.05260380000001,12.3740652,-5.55194079783583,1.90808294975745e-05,0.00327938814566452,2.99322500622388
"IGFBP7",1.06634925,13.864113475,5.53680222881964,1.97441256422612e-05,0.00334037036322483,2.96112688827808
"CCKBR",-4.20188531,7.004287755,-5.53623870186446,1.97692660863517e-05,0.00334037036322483,2.95993153448476
"ADIPOQ",-3.44047098,6.19164378,-5.53011760744617,2.00444587854803e-05,0.00334037036322483,2.94694509227375
"NSG1",-1.10931742,7.44784542,-5.52751474394126,2.01626604460577e-05,0.00334037036322483,2.94142157289832
